City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
74,Coaticook,CA,45.1334,-71.7991,38.97,89,99,12.35,overcast clouds
75,Cidreira,BR,-30.1811,-50.2056,70.92,95,100,19.55,overcast clouds
76,Preston,GB,53.7667,-2.7167,42.69,93,99,4.23,overcast clouds
77,Ajdabiya,LY,30.7554,20.2263,61.11,55,0,8.01,clear sky
78,Hilo,US,19.7297,-155.09,83.28,85,0,6.91,clear sky
79,Luderitz,NA,-26.6481,15.1594,62.28,79,4,11.01,clear sky
80,Grand Gaube,MU,-20.0064,57.6608,75.38,72,64,5.01,broken clouds
81,Florianopolis,BR,-27.6146,-48.5012,74.35,97,100,18.41,thunderstorm with heavy rain
82,East London,ZA,-33.0153,27.9116,70.34,91,100,4.41,overcast clouds
83,Grindavik,IS,63.8424,-22.4338,46.35,87,75,27.63,broken clouds
84,Palana,RU,59.1167,159.9667,23.81,81,100,14.83,overcast clouds
85,Gumdag,TM,39.2061,54.5906,39.6,18,100,21.97,overcast clouds
86,Nara,JP,34.6851,135.8049,56.5,36,14,9.75,few clouds
87,Isabela,PH,6.7085,121.9711,86.05,67,38,5.28,scattered clouds
88,Saldanha,ZA,-33.0117,17.9442,62.65,93,100,5.57,overcast clouds
89,Constitucion,CL,-35.3333,-72.4167,53.8,80,0,12.37,clear sky
90,Zhuhai,CN,22.2769,113.5678,60.58,88,40,24.16,scattered clouds
91,Turukhansk,RU,65.8167,87.9833,3.97,95,100,11.34,overcast clouds
92,Alofi,NU,-19.0595,-169.9187,85.89,70,40,1.14,scattered clouds
93,Carnarvon,AU,-24.8667,113.6333,76.06,62,4,11.54,clear sky
94,Yichang,CN,30.7144,111.2847,39.0,57,100,1.57,overcast clouds
95,Kruisfontein,ZA,-34.0033,24.7314,60.89,89,24,1.32,few clouds
96,Albanel,CA,48.8832,-72.4487,35.74,93,100,8.05,light rain
97,Makakilo City,US,21.3469,-158.0858,80.92,68,75,8.05,broken clouds
98,Harper,LR,4.375,-7.7169,77.05,86,100,3.09,light rain
99,Jian,CN,27.1172,114.9793,35.56,84,100,9.26,overcast clouds
100,Cananea,MX,30.95,-110.3,47.37,44,2,4.05,clear sky
101,Karasjok,NO,69.4719,25.5112,23.77,96,100,4.07,overcast clouds
102,Santa Cruz,BO,-17.8,-63.1667,74.66,83,75,14.97,broken clouds
